_id,job_id,title,description,employment_type,hiring_organization,categories,apply_url,create_date,update_date,processed_at,location.street_address,location.city,location.state,location.country_code,location.postal_code,location.latitude,location.longitude
67ec48fdda55405250498835,403466BR,Package Handler- Switcher FT,"Job Summary Responsible for the movement of trailers to and from the unload / load doors and throughout the yard. May also be responsible for the physical loading, unloading and/or sorting of packages by hand, including lifting, pushing, pulling, carrying and placing, in a safe and efficient manner. Essential Functions • Performs trailer switches defined as hooking and moving a parked trailer from the yard to a load/unload door or hooking and moving a trailer from a door to the yard. • Communicates with management and/or central control to coordinate trailer movements in the yard. • Documents trailer moves using the Yard Management System (where available) or switcher cards. • Performs pre- and post-trip inspections on switcher equipment. • Understands and demonstrates effective yard switching safety processes and procedures. In addition to the above essential functions, Switchers may also be required to perform Package Handler essential functions as follows: • Utilizes “hand-to-surface” methods for all package handling. • Loads and unloads packages onto or from delivery vehicles, trailers, conveyor system carts and load gratings. • Lifts, carries, pushes and pulls packages on a continuous and repetitive basis for approximate shifts of two to four hours. • Determines the appropriate conveyor system by scanning packages, reading labels and charts, verifying numbers and memorizing information and sorts packages accordingly. Minimum Education None Minimum Experience No experience required; six (6) months of experience as a package handler or switching/CDL operator experience preferred. Required Skills, Abilities and / or Licensure •Must have a valid driver’s license and maintain a Department of Transportation (DOT) file. •Ability to understand and follow instruction regarding work duties and safety methods. • Ability to discern numbers and information in order to sort packages correctly. •Ability to use basic tools and equipment such as skate wheel rollers, dock carts, hand-held scanners, chutes and unloading devices. •Strong communication and interpersonal skills; ability to work well in a fast-paced team environment.Address: 1101 E Cleveland Road City: Hutchins State: Texas Zip Code: 75141 Domicile Location: FXG-US/USA/P753/Dallas - Hub Auto req ID: 403466BR Position Type: Full time Employee Type: Non-Exempt EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforceSearch Engine Description: Handler/Dockworker Operations Transportation Services Warehouse & Distribution",FULL_TIME,FedEx Ground,"[{'name': 'Handler/Dockworker'}, {'name': 'Operations'}, {'name': 'Transportation Services'}, {'name': 'Warehouse & Distribution'}]",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25736&siteid=5029&jobid=604612,2024-02-02T06:06:00+0000,2024-02-02T06:06:02+0000,2025-04-01T20:13:49.883912,1101 E Cleveland Road,Hutchins,Texas,US,75141,32.6574419,-96.7055958
67ec48fdda55405250498836,409553BR,Package Handler- Switcher CDL FT,"Job Summary Responsible for the movement of trailers to and from the unload / load doors and throughout the yard. May also be responsible for the physical loading, unloading and/or sorting of packages by hand, including lifting, pushing, pulling, carrying and placing, in a safe and efficient manner. Essential Functions • Performs trailer switches defined as hooking and moving a parked trailer from the yard to a load/unload door or hooking and moving a trailer from a door to the yard. • Communicates with management and/or central control to coordinate trailer movements in the yard. • Documents trailer moves using the Yard Management System (where available) or switcher cards. • Performs pre- and post-trip inspections on switcher equipment. • Understands and demonstrates effective yard switching safety processes and procedures. In addition to the above essential functions, Switchers may also be required to perform Package Handler essential functions as follows: • Utilizes “hand-to-surface” methods for all package handling. • Loads and unloads packages onto or from delivery vehicles, trailers, conveyor system carts and load gratings. • Lifts, carries, pushes and pulls packages on a continuous and repetitive basis for approximate shifts of two to four hours. • Determines the appropriate conveyor system by scanning packages, reading labels and charts, verifying numbers and memorizing information and sorts packages accordingly. NONESSENTIAL FUNCTIONS • Performs other duties as assigned Minimum Education None Minimum Experience No experience required; six (6) months of experience as a package handler or switching/CDL operator experience preferred. Required Skills, Abilities and / or Licensure • Must have a valid driver’s license and maintain a Department of Transportation (DOT) file. • Commercial Driver’s License (CDL – Class A) to operate in interstate commerce is required. • Ability to understand and follow instruction regarding work duties and safety methods. • Ability to discern numbers and information in order to sort packages correctly. • Ability to use basic tools and equipment such as skate wheel rollers, dock carts, hand-held scanners, chutes and unloading devices. • Strong communication and interpersonal skills; ability to work well in a fast-paced team environment.% of Travel for the Position: N/A Address: 1101 E Cleveland Road City: Hutchins State: Texas Zip Code: 75141 Domicile Location: FXG-US/USA/P753/Dallas - Hub Auto req ID: 409553BR Position Type: Full time Employee Type: Non-Exempt EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforceSearch Engine Description: Operations Transportation Services Warehouse & Distribution",FULL_TIME,FedEx Ground,"[{'name': 'Operations'}, {'name': 'Transportation Services'}, {'name': 'Warehouse & Distribution'}]",https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25736&siteid=5029&jobid=610726,2024-02-02T06:06:00+0000,2024-02-02T06:06:02+0000,2025-04-01T20:13:49.922657,1101 E Cleveland Road,Hutchins,Texas,US,75141,32.6574419,-96.7055958
67ec48fdda55405250498837,413028BR,Package Handler- Warehouse,"Position Title: Package Handler- Warehouse Job Summary FedEx Ground is an essential business that needs people to help us support the economy, handling life-saving medications and other items that keep our communities as prepared as possible during these uncertain times. FedEx Ground will continue to hire for essential positions like this one. FedEx Ground is hiring individuals to load and unload packages for shifts of approximately 2-4 hours in our fast paced warehouse environment. Package Handlers are responsible for warehouse duties including: the physical loading, unloading and/or sorting of packages of varying sizes and weights by hand, including lifting, pushing, pulling, carrying, scanning, placing packages, as well as physical bending, twisting, kneeling and etc. in a safe and efficient manner. Shifts may vary depending on warehouse package volume and business needs. Package Handlers will receive a competitive hourly rate and are eligible for an attractive benefits package including medical, dental, vision, vacation, holiday pay and tuition assistance after completion of an eligibility period of three (3) months. Flexible schedules may be available at some of our locations and can be discussed during the hiring process. Individuals who are interested in starting their journey with FedEx Ground must be at least 18 years of age and will be required to watch a virtual job preview before moving forward with the employment application process. Reasonable accommodations are available through the application process.Address: 365 Black Diamond Blvd City: Winnipeg Province: Manitoba Zip Code: R2J 4M4 Domicile Location: FXG-CAN/CAN/Q6182/Winnipeg Local AutoReqID: 413028BR Additional Sort Observation Info Payrate: $17.15 / hr Sunday – Friday shifts available Shifts fluctuate and start approximately at 5 PM (Sunday at 3PM) Reliable form of transportation requiredEEO Statement: FedEx Ground is an equal opportunity employer",,FedEx Ground,[],https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25736&siteid=5194&jobid=614384,2024-02-02T05:06:08+0000,2024-02-02T05:06:11+0000,2025-04-01T20:13:49.926738,365 Black Diamond Blvd,Winnipeg,Manitoba,CA,,49.8765088,-97.05635250000002
67ec48fdda55405250498838,P25-6758-9,Package Handler - Part Time (Warehouse like),"IMMEDIATE OPENINGS! Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. Perks and Benefits at FedEx Ground Competitive wages beginning at $18.75 per hour paid weekly for both full and part time opportunities $5,250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment! Generous paid time off program – work your way up to 5 weeks of PTO a year! Medical, dental and vision benefits after a short waiting period. Flexible scheduling that helps balance your work and personal life. Valuable employee discounts on things like cell phone plans, electronics, cars and restaurants. Free Purple Pathways career development program for all FedEx Ground employees. Paid parental leave for both moms and dads! Employee networks, and diversity, equity and inclusion programs available for all employees. What you can expect at FedEx Ground: Fast paced and physical warehouse work – why pay for a gym membership when you can get paid while working out? Warehouse duties include loading, unloading, and sorting of packages of various sizes. Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts. Shift lengths vary based on package volume – generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours. Overtime paid after 40 hours a week. EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce. Reasonable accommodations are available for qualified individuals with disabilities. Starting Pay: $18.75 - $19.25 / hr Address: 3410 South 51st Avenue City: PHOENIX State: AZ Zip Code: 85043 Location: FXG-US/USA/P850/Phoenix Hub Req ID: P25-6758-9",,,[{'name': 'Package Handler'}],https://fedex.paradox.ai/co/FedExGround/Job?job_id=P25-6758-9,2024-01-30T00:05:41+0000,2024-02-02T03:05:49+0000,2025-04-01T20:13:49.928704,3410 South 51st Avenue,PHOENIX,AZ,US,85043,33.417304,-112.1716329
67ec48fdda55405250498839,P25-6757-2,Package Handler - Part & Full Time (Warehouse like),"IMMEDIATE OPENINGS! Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. Perks and Benefits at FedEx Ground Competitive wages beginning at $18.00 per hour paid weekly for both full and part time opportunities $5,250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment! Generous paid time off program – work your way up to 5 weeks of PTO a year! Medical, dental and vision benefits after a short waiting period. Flexible scheduling that helps balance your work and personal life. Valuable employee discounts on things like cell phone plans, electronics, cars and restaurants. Free Purple Pathways career development program for all FedEx Ground employees. Paid parental leave for both moms and dads! Employee networks, and diversity, equity and inclusion programs available for all employees. What you can expect at FedEx Ground: Fast paced and physical warehouse work – why pay for a gym membership when you can get paid while working out? Warehouse duties include loading, unloading, and sorting of packages of various sizes. Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts. Shift lengths vary based on package volume – generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours. Overtime paid after 40 hours a week. EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce. Reasonable accommodations are available for qualified individuals with disabilities. PART-TIME HIRING Address: 23000 N. 7th Ave City: PHOENIX State: AZ Zip Code: 85027 Location: FXG-US/USA/P849/North Phoenix - Colocation Req ID: P25-6757-2",,,[{'name': 'Package Handler'}],https://fedex.paradox.ai/co/FedExGround/Job?job_id=P25-6757-2,2024-01-25T23:06:49+0000,2024-02-02T03:05:49+0000,2025-04-01T20:13:49.930456,23000 N. 7th Ave,PHOENIX,AZ,US,85027,33.6953171,-112.0847072
67ec48fdda5540525049883a,P25-6976-31,Package Handler - Part Time (Warehouse like),"IMMEDIATE OPENINGS! Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. Perks and Benefits at FedEx Ground Competitive wages beginning at $18.80 per hour paid weekly for both full and part time opportunities $5,250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment! Generous paid time off program – work your way up to 5 weeks of PTO a year! Medical, dental and vision benefits after a short waiting period. Flexible scheduling that helps balance your work and personal life. Valuable employee discounts on things like cell phone plans, electronics, cars and restaurants. Free Purple Pathways career development program for all FedEx Ground employees. Paid parental leave for both moms and dads! Employee networks, and diversity, equity and inclusion programs available for all employees. What you can expect at FedEx Ground: Fast paced and physical warehouse work – why pay for a gym membership when you can get paid while working out? Warehouse duties include loading, unloading, and sorting of packages of various sizes. Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts. Shift lengths vary based on package volume – generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours. Overtime paid after 40 hours a week. EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce. Reasonable accommodations are available for qualified individuals with disabilities. Package Handler Pay: $18.80 - $19.80 Address: 2157 STACIES WAY City: GREENWOOD State: IN Zip Code: 46143 Location: FXG-US/USA/P474/Greenwood Hub Req ID: P25-6976-31",,,[{'name': 'Package Handler'}],https://fedex.paradox.ai/co/FedExGround/Job?job_id=P25-6976-31,2024-01-30T20:05:38+0000,2024-02-02T03:05:49+0000,2025-04-01T20:13:49.932211,2157 STACIES WAY,GREENWOOD,IN,US,46143,39.597766,-86.0569411
67ec48fdda5540525049883b,P25-6964-27,Package Handler (Warehouse like),"IMMEDIATE OPENINGS! Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. Perks and Benefits at FedEx Ground Competitive wages beginning at $21.00 per hour paid weekly for both full and part time opportunities $5,250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment! Generous paid time off program – work your way up to 5 weeks of PTO a year! Medical, dental and vision benefits after a short waiting period. Flexible scheduling that helps balance your work and personal life. Valuable employee discounts on things like cell phone plans, electronics, cars and restaurants. Free Purple Pathways career development program for all FedEx Ground employees. Paid parental leave for both moms and dads! Employee networks, and diversity, equity and inclusion programs available for all employees. What you can expect at FedEx Ground: Fast paced and physical warehouse work – why pay for a gym membership when you can get paid while working out? Warehouse duties include loading, unloading, and sorting of packages of various sizes. Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts. Shift lengths vary based on package volume – generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours. Overtime paid after 40 hours a week. EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce. Reasonable accommodations are available for qualified individuals with disabilities. Pay: $21 - $22.50 / hr . MUST WORK A SATURDAY AND/OR SUNDAY Address: 751 NE Columbia Blvd City: PORTLAND State: OR Zip Code: 97211 Location: FXG-US/USA/P938/North Portland RSF Req ID: P25-6964-27",,,[{'name': 'Package Handler'}],https://fedex.paradox.ai/co/FedExGround/Job?job_id=P25-6964-27,2024-01-29T19:05:30+0000,2024-02-02T03:05:49+0000,2025-04-01T20:13:49.933813,751 NE Columbia Blvd,PORTLAND,OR,US,97211,45.5829274,-122.6575918
67ec48fdda5540525049883c,P25-79612-3,Package Handler Metro Area (Warehouse like),"IMMEDIATE OPENINGS! Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. Perks and Benefits at FedEx Ground Competitive wages beginning at $18.50 per hour paid weekly for both full and part time opportunities $5,250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment! Generous paid time off program – work your way up to 5 weeks of PTO a year! Medical, dental and vision benefits after a short waiting period. Flexible scheduling that helps balance your work and personal life. Valuable employee discounts on things like cell phone plans, electronics, cars and restaurants. Free Purple Pathways career development program for all FedEx Ground employees. Paid parental leave for both moms and dads! Employee networks, and diversity, equity and inclusion programs available for all employees. What you can expect at FedEx Ground: Fast paced and physical warehouse work – why pay for a gym membership when you can get paid while working out? Warehouse duties include loading, unloading, and sorting of packages of various sizes. Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts. Shift lengths vary based on package volume – generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours. Overtime paid after 40 hours a week. EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce. Reasonable accommodations are available for qualified individuals with disabilities. Hiring for Early AM Sort $19.50/Hour 2AM-9:30AM and Outbound (evening) Sort $18.50/hr 3pm-9pm Both Sorts Operate Monday - Saturday Driving to One FedEx. City: SPOKANE State: WA Zip Code: 99216 Location: Spokane Area Req ID: P25-79612-3",,,[{'name': 'Package Handler'}],https://fedex.paradox.ai/co/FedExGround/Job?job_id=P25-79612-3,2024-01-29T21:05:48+0000,2024-02-02T03:05:49+0000,2025-04-01T20:13:49.935228,,SPOKANE,WA,US,99216,47.6284207,-117.4028449
67ec48fdda5540525049883d,P25-6838-53,Package Handler - Part Time (Warehouse like),"IMMEDIATE OPENINGS! Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. Perks and Benefits at FedEx Ground Competitive wages beginning at $20.00 per hour paid weekly for both full and part time opportunities $5,250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment! Generous paid time off program – work your way up to 5 weeks of PTO a year! Medical, dental and vision benefits after a short waiting period. Flexible scheduling that helps balance your work and personal life. Valuable employee discounts on things like cell phone plans, electronics, cars and restaurants. Free Purple Pathways career development program for all FedEx Ground employees. Paid parental leave for both moms and dads! Employee networks, and diversity, equity and inclusion programs available for all employees. What you can expect at FedEx Ground: Fast paced and physical warehouse work – why pay for a gym membership when you can get paid while working out? Warehouse duties include loading, unloading, and sorting of packages of various sizes. Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts. Shift lengths vary based on package volume – generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours. Overtime paid after 40 hours a week. EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce. Reasonable accommodations are available for qualified individuals with disabilities. Pay: $20 - $23 / hr Address: 3015 78TH AVENUE EAST City: TACOMA State: WA Zip Code: 98424 Location: FXG-US/USA/P994/Tacoma Colocation Req ID: P25-6838-53",,,[{'name': 'Package Handler'}],https://fedex.paradox.ai/co/FedExGround/Job?job_id=P25-6838-53,2024-01-11T22:05:27+0000,2024-02-02T03:05:49+0000,2025-04-01T20:13:49.936510,3015 78TH AVENUE EAST,TACOMA,WA,US,98424,47.2278939,-122.3235178
67ec48fdda5540525049883e,P25-6671-50,Package Handler - Part Time (Warehouse like),"IMMEDIATE OPENINGS! Come for a job and stay for a career! FedEx Ground is part of the rapidly growing warehouse and transportation sector that helps keep America, and our economy, moving. Be part of a winning team and workplace community that cares about who you are as an individual, and your safety in the workplace. Perks and Benefits at FedEx Ground Competitive wages beginning at $17.70 per hour paid weekly for both full and part time opportunities $5,250 tuition reimbursement every year with no lifetime cap! All employees are eligible for this awesome benefit on their first day of employment! Generous paid time off program – work your way up to 5 weeks of PTO a year! Medical, dental and vision benefits after a short waiting period. Flexible scheduling that helps balance your work and personal life. Valuable employee discounts on things like cell phone plans, electronics, cars and restaurants. Free Purple Pathways career development program for all FedEx Ground employees. Paid parental leave for both moms and dads! Employee networks, and diversity, equity and inclusion programs available for all employees. What you can expect at FedEx Ground: Fast paced and physical warehouse work – why pay for a gym membership when you can get paid while working out? Warehouse duties include loading, unloading, and sorting of packages of various sizes. Part time FedEx Ground employees work one shift a day; full time FedEx Ground employees work two shifts. Shift lengths vary based on package volume – generally part time employees work between 3 and 6 hours a day. Full time employees can expect to work between 6 and 10 hours. Overtime paid after 40 hours a week. EEO Statement FedEx Ground is an equal opportunity / affirmative action employer (Minorities/Females/Disability/Veterans) committed to a diverse workforce. Reasonable accommodations are available for qualified individuals with disabilities. Driving to One FedEx. Address: 14748 N LINCOLN BLVD City: EDMOND State: OK Zip Code: 73013 Location: FXG-US/USA/P732/North Oklahoma Colocation Req ID: P25-6671-50",,,[{'name': 'Package Handler'}],https://fedex.paradox.ai/co/FedExGround/Job?job_id=P25-6671-50,2024-01-31T00:05:52+0000,2024-02-02T03:05:49+0000,2025-04-01T20:13:49.937802,14748 N LINCOLN BLVD,EDMOND,OK,US,73013,35.6221054,-97.5047451
